X,Y,Z,Orientation
0.71,-9.17,-1.64,UP
0.45,-9.07,-1.47,UP
0.32,-9.13,-1.28,UP
0.22,-9.18,-1.13,UP
0.20,-9.25,-1.04,UP
0.34,-9.21,-1.09,UP
0.72,-9.09,-1.23,UP
1.13,-9.02,-1.44,UP
1.34,-8.97,-1.72,UP
1.18,-9.13,-1.98,UP
0.97,-9.47,-1.96,UP
0.77,-9.96,-1.77,UP
0.67,-10.30,-1.52,UP
0.56,-10.51,-1.33,UP
0.29,-10.54,-1.26,UP
0.07,-10.49,-1.23,UP
-0.02,-10.43,-1.15,UP
-0.11,-10.35,-1.00,UP
-0.30,-10.37,-0.80,UP
-0.67,-10.47,-0.49,UP
-0.85,-10.52,-0.26,UP
-0.91,-10.56,-0.12,UP
-0.87,-10.48,0.02,UP
-0.91,-10.30,0.09,UP
-0.94,-10.12,0.11,UP
-0.85,-9.92,0.06,UP
-0.68,-9.69,-0.14,UP
-0.58,-9.47,-0.38,UP
-0.52,-9.28,-0.62,UP
-0.46,-9.10,-0.78,UP
-0.43,-8.95,-0.78,UP
-0.50,-8.87,-0.74,UP
-0.67,-8.93,-0.60,UP
-0.85,-9.14,-0.48,UP
-1.04,-9.43,-0.32,UP
-1.31,-9.83,-0.09,UP
-1.45,-10.12,0.19,UP
-1.62,-10.12,0.34,UP
-1.88,-9.81,0.64,UP
-2.10,-9.41,1.13,UP
-2.08,-9.37,1.34,UP
-1.89,-9.79,1.14,UP
-1.93,-10.11,0.97,UP
-2.03,-10.37,0.84,UP
-2.06,-10.33,0.83,UP
-1.98,-10.17,0.89,UP
-1.81,-9.98,0.94,UP
-1.55,-9.84,0.95,UP
-1.47,-9.78,0.87,UP
-1.51,-9.74,0.79,UP
-1.58,-9.68,0.70,UP
-1.60,-9.57,0.67,UP
-1.62,-9.49,0.65,UP
-1.79,-9.16,1.01,UP
-1.62,-9.22,1.03,UP
-1.36,-9.45,0.96,UP
-1.25,-9.66,0.95,UP
-1.13,-9.88,1.07,UP
-0.98,-10.08,1.27,UP
-0.79,-10.26,1.56,UP
-0.68,-10.49,1.86,UP
-0.56,-10.79,2.03,UP
-0.39,-11.09,1.99,UP
-0.20,-11.14,1.69,UP
-0.15,-11.01,1.41,UP
-0.23,-10.76,1.07,UP
-0.43,-10.46,0.82,UP
-0.60,-10.17,0.79,UP
-0.55,-9.97,0.82,UP
-0.34,-9.98,0.93,UP
-0.05,-10.14,1.14,UP
0.20,-10.26,1.32,UP
0.50,-10.23,1.65,UP
0.80,-9.96,1.92,UP
0.95,-9.74,1.93,UP
0.95,-9.51,1.98,UP
0.88,-9.25,2.01,UP
0.82,-9.07,2.01,UP
0.74,-8.94,1.99,UP
0.62,-8.72,1.93,UP
0.50,-8.47,1.85,UP
0.43,-8.17,1.75,UP
0.42,-8.00,1.75,UP
0.38,-7.92,1.74,UP
0.33,-7.93,1.82,UP
0.41,-7.96,2.05,UP
0.81,-7.91,2.47,UP
1.19,-7.85,2.69,UP
1.39,-7.92,2.82,UP
1.53,-8.18,2.72,UP
1.43,-8.49,2.71,UP
1.52,-8.71,2.71,UP
1.82,-8.90,2.44,UP
1.89,-8.90,2.25,UP
2.00,-8.88,2.13,UP
2.32,-8.75,2.23,UP
2.45,-8.59,2.41,UP
2.49,-8.58,2.50,UP
2.54,-8.62,2.78,UP
2.66,-8.78,3.11,UP
2.91,-9.01,3.27,UP
2.99,-9.06,3.32,UP
3.04,-8.98,3.20,UP
3.13,-8.86,3.07,UP
3.24,-8.73,2.81,UP
3.28,-8.65,2.56,UP
3.32,-8.60,2.36,UP
3.36,-8.53,2.27,UP
3.49,-8.45,2.19,UP
3.60,-8.47,2.09,UP
3.60,-8.40,2.14,UP
3.58,-8.36,2.17,UP
3.70,-8.40,2.00,UP
3.87,-8.41,1.87,UP
3.96,-8.47,1.75,UP
4.00,-8.48,1.61,UP
4.01,-8.35,1.58,UP
3.99,-8.21,1.57,UP
3.86,-8.09,1.59,UP
3.79,-8.03,1.57,UP
3.82,-8.03,1.54,UP
3.84,-8.15,1.50,UP
3.85,-8.17,1.46,UP
3.77,-8.25,1.35,UP
3.73,-8.32,1.12,UP
3.70,-8.42,0.86,UP
3.59,-8.58,0.67,UP
3.51,-8.55,0.51,UP
3.48,-8.25,0.34,UP
3.49,-7.98,0.41,UP
3.42,-7.78,0.61,UP
3.34,-7.69,0.74,UP
3.37,-7.76,0.76,UP
3.47,-7.99,0.69,UP
3.51,-8.33,0.52,UP
3.51,-8.56,0.31,UP
3.64,-8.67,0.27,UP
3.91,-9.05,0.18,UP
4.00,-9.31,-0.24,UP
4.07,-9.52,-0.30,UP
4.01,-9.82,-0.26,UP
3.83,-10.04,-0.12,UP
3.57,-10.25,0.07,UP
3.44,-10.37,0.00,UP
3.53,-10.39,-0.20,UP
3.70,-10.32,-0.46,UP
3.82,-10.25,-0.62,UP
3.80,-10.20,-0.57,UP
3.64,-10.14,-0.52,UP
3.41,-10.05,-0.44,UP
3.16,-9.93,-0.29,UP
2.94,-9.93,-0.18,UP
2.68,-10.02,-0.13,UP
2.50,-10.05,-0.23,UP
2.26,-9.98,-0.44,UP
2.13,-9.81,-0.79,UP
2.09,-9.60,-1.20,UP
1.98,-9.35,-1.60,UP
1.94,-9.22,-1.80,UP
2.06,-9.23,-1.58,UP
2.36,-9.54,-1.15,UP
2.49,-9.95,-0.94,UP
2.47,-10.38,-0.93,UP
2.37,-10.60,-1.01,UP
2.20,-10.68,-1.24,UP
1.89,-10.49,-1.55,UP
1.77,-10.30,-1.62,UP
1.50,-10.10,-1.56,UP
1.31,-10.09,-1.34,UP
1.27,-10.32,-0.88,UP
1.32,-10.52,-0.77,UP
1.49,-10.69,-0.86,UP
1.64,-10.69,-1.04,UP
1.81,-10.57,-1.35,UP
1.86,-10.37,-1.65,UP
1.80,-10.06,-1.95,UP
1.70,-9.70,-2.20,UP
1.65,-9.44,-2.32,UP
1.50,-9.21,-2.23,UP
1.44,-9.23,-2.02,UP
1.42,-9.34,-1.78,UP
1.43,-9.52,-1.47,UP
1.40,-9.72,-1.18,UP
1.35,-9.96,-0.99,UP
1.28,-10.21,-0.89,UP
1.28,-10.55,-0.79,UP
1.29,-10.76,-0.79,UP
1.38,-10.81,-0.91,UP
1.51,-10.76,-1.14,UP
1.57,-10.66,-1.44,UP
1.75,-10.29,-1.78,UP
1.95,-9.96,-1.91,UP
2.22,-9.65,-1.95,UP
2.50,-9.46,-1.92,UP
2.79,-9.52,-1.81,UP
2.98,-9.77,-1.79,UP
3.04,-10.20,-1.75,UP
2.94,-10.52,-1.77,UP
2.69,-10.64,-1.77,UP
2.49,-10.52,-1.71,UP
2.53,-10.26,-1.58,UP
2.71,-10.11,-1.58,UP
2.94,-10.10,-1.62,UP
3.23,-10.23,-1.61,UP
3.50,-10.51,-1.89,UP
3.21,-10.36,-2.43,UP
2.57,-9.67,-2.88,UP
2.44,-9.25,-2.85,UP
2.52,-8.96,-2.78,UP
2.68,-8.83,-2.65,UP
2.90,-8.96,-2.45,UP
3.12,-9.20,-2.19,UP
3.14,-9.24,-2.04,UP
3.03,-9.19,-1.86,UP
2.77,-9.12,-1.61,UP
2.81,-9.18,-1.29,UP
2.93,-9.23,-1.13,UP
2.94,-9.14,-0.54,UP
2.88,-9.10,-0.44,UP
2.83,-9.09,-0.44,UP
2.81,-9.04,-0.68,UP
2.97,-8.91,-1.06,UP
3.26,-8.81,-1.16,UP
3.62,-8.74,-1.19,UP
3.90,-8.70,-1.17,UP
4.02,-8.72,-1.20,UP
4.11,-9.00,-1.22,UP
4.18,-9.38,-1.14,UP
4.19,-9.82,-1.17,UP
4.18,-10.16,-1.44,UP
4.21,-10.50,-1.93,UP
10.33,0.11,-1.48,HORIZONTAL
10.32,0.06,-1.49,HORIZONTAL
10.12,-0.30,-0.61,HORIZONTAL
10.30,0.24,-0.39,HORIZONTAL
10.32,0.30,-0.61,HORIZONTAL
10.35,0.30,-0.76,HORIZONTAL
10.46,0.29,-0.81,HORIZONTAL
10.55,0.45,-0.91,HORIZONTAL
10.38,0.65,-0.83,HORIZONTAL
10.21,0.79,-0.81,HORIZONTAL
10.18,0.78,-0.78,HORIZONTAL
10.18,0.58,-0.66,HORIZONTAL
10.23,0.41,-0.52,HORIZONTAL
10.31,0.28,-0.40,HORIZONTAL
10.32,0.23,-0.41,HORIZONTAL
10.27,0.19,-0.48,HORIZONTAL
10.23,0.17,-0.56,HORIZONTAL
10.23,0.04,-0.51,HORIZONTAL
10.33,-0.09,-0.42,HORIZONTAL
10.41,-0.11,-0.27,HORIZONTAL
10.29,-0.01,-0.13,HORIZONTAL
10.09,0.17,-0.02,HORIZONTAL
9.99,0.51,-0.14,HORIZONTAL
9.97,0.71,-0.31,HORIZONTAL
10.02,0.79,-0.59,HORIZONTAL
10.02,0.76,-0.77,HORIZONTAL
9.96,0.53,-0.81,HORIZONTAL
9.93,0.24,-0.81,HORIZONTAL
9.96,0.22,-0.58,HORIZONTAL
9.96,0.33,-0.62,HORIZONTAL
9.96,0.40,-0.77,HORIZONTAL
10.10,0.40,-1.00,HORIZONTAL
10.32,0.28,-1.03,HORIZONTAL
10.29,0.04,-0.82,HORIZONTAL
10.21,0.02,-0.40,HORIZONTAL
10.37,0.08,-0.08,HORIZONTAL
10.61,0.28,-0.25,HORIZONTAL
10.65,0.43,-0.57,HORIZONTAL
10.58,0.55,-0.80,HORIZONTAL
10.47,0.58,-0.72,HORIZONTAL
10.36,0.68,-0.57,HORIZONTAL
10.26,0.68,-0.51,HORIZONTAL
10.13,0.62,-0.49,HORIZONTAL
10.09,0.53,-0.70,HORIZONTAL
10.08,0.46,-0.95,HORIZONTAL
10.06,0.47,-0.91,HORIZONTAL
10.14,0.50,-1.13,HORIZONTAL
10.35,0.45,-1.33,HORIZONTAL
10.62,0.40,-1.69,HORIZONTAL
10.77,0.34,-2.15,HORIZONTAL
10.67,0.27,-2.12,HORIZONTAL
10.61,0.36,-1.90,HORIZONTAL
10.45,0.62,-1.56,HORIZONTAL
10.46,0.80,-1.16,HORIZONTAL
10.74,0.76,-0.95,HORIZONTAL
11.09,0.56,-0.77,HORIZONTAL
11.16,0.50,-0.56,HORIZONTAL
11.04,0.69,-0.59,HORIZONTAL
10.75,0.87,-0.77,HORIZONTAL
10.43,0.94,-0.77,HORIZONTAL
10.09,0.94,-0.63,HORIZONTAL
9.94,0.92,-0.64,HORIZONTAL
9.87,0.79,-0.91,HORIZONTAL
9.92,0.58,-1.36,HORIZONTAL
10.05,0.45,-1.67,HORIZONTAL
10.07,0.35,-1.69,HORIZONTAL
10.10,0.32,-1.66,HORIZONTAL
10.14,0.36,-1.75,HORIZONTAL
10.18,0.38,-1.86,HORIZONTAL
10.22,0.48,-2.05,HORIZONTAL
10.06,0.73,-2.08,HORIZONTAL
9.81,0.92,-2.04,HORIZONTAL
9.52,0.95,-1.97,HORIZONTAL
9.39,0.85,-1.77,HORIZONTAL
9.28,0.72,-1.37,HORIZONTAL
9.20,0.61,-1.03,HORIZONTAL
9.22,0.63,-0.73,HORIZONTAL
9.41,0.74,-0.78,HORIZONTAL
9.56,0.74,-1.03,HORIZONTAL
9.75,0.66,-1.37,HORIZONTAL
9.89,0.65,-1.58,HORIZONTAL
10.01,0.57,-1.69,HORIZONTAL
10.13,0.36,-1.80,HORIZONTAL
10.22,0.32,-1.74,HORIZONTAL
10.11,0.51,-1.62,HORIZONTAL
9.95,0.63,-1.53,HORIZONTAL
9.84,0.71,-1.18,HORIZONTAL
9.71,0.93,-0.99,HORIZONTAL
9.50,1.11,-1.02,HORIZONTAL
9.49,1.04,-1.13,HORIZONTAL
9.60,0.93,-1.29,HORIZONTAL
9.67,0.87,-1.49,HORIZONTAL
9.79,0.91,-1.56,HORIZONTAL
9.88,1.01,-1.58,HORIZONTAL
9.93,1.13,-1.53,HORIZONTAL
9.91,1.23,-1.47,HORIZONTAL
9.87,1.38,-1.32,HORIZONTAL
9.96,1.40,-1.03,HORIZONTAL
10.09,1.30,-0.81,HORIZONTAL
10.10,1.31,-0.72,HORIZONTAL
10.09,1.30,-0.65,HORIZONTAL
10.08,1.23,-0.75,HORIZONTAL
10.12,1.07,-0.99,HORIZONTAL
10.19,0.91,-1.29,HORIZONTAL
10.24,0.79,-1.47,HORIZONTAL
10.27,0.87,-1.60,HORIZONTAL
10.25,1.08,-1.63,HORIZONTAL
10.19,1.19,-1.45,HORIZONTAL
10.13,1.23,-1.15,HORIZONTAL
10.07,1.16,-0.76,HORIZONTAL
10.04,1.19,-0.51,HORIZONTAL
10.02,1.28,-0.42,HORIZONTAL
9.96,1.33,-0.49,HORIZONTAL
9.97,1.23,-0.79,HORIZONTAL
10.06,1.13,-0.87,HORIZONTAL
10.21,1.02,-0.95,HORIZONTAL
10.35,0.96,-0.92,HORIZONTAL
10.46,1.04,-0.81,HORIZONTAL
10.63,1.20,-0.69,HORIZONTAL
10.73,1.24,-0.57,HORIZONTAL
10.66,1.30,-0.44,HORIZONTAL
10.38,1.35,-0.49,HORIZONTAL
10.06,1.39,-0.55,HORIZONTAL
9.86,1.38,-0.45,HORIZONTAL
9.80,1.36,-0.34,HORIZONTAL
9.84,1.31,-0.37,HORIZONTAL
10.03,1.24,-0.47,HORIZONTAL
10.17,1.21,-0.53,HORIZONTAL
10.21,1.11,-0.69,HORIZONTAL
10.33,0.98,-0.95,HORIZONTAL
10.32,0.94,-1.09,HORIZONTAL
10.26,0.94,-1.26,HORIZONTAL
10.12,0.90,-1.34,HORIZONTAL
10.00,0.99,-1.27,HORIZONTAL
9.89,1.05,-1.16,HORIZONTAL
9.85,1.13,-1.03,HORIZONTAL
9.79,1.22,-0.91,HORIZONTAL
9.67,1.38,-0.78,HORIZONTAL
9.63,1.35,-0.57,HORIZONTAL
9.67,1.23,-0.31,HORIZONTAL
9.85,1.04,-0.25,HORIZONTAL
10.16,0.89,-0.43,HORIZONTAL
10.32,0.91,-0.68,HORIZONTAL
10.19,1.10,-0.70,HORIZONTAL
10.22,1.11,-0.79,HORIZONTAL
10.72,0.78,-1.87,HORIZONTAL
10.91,0.70,-2.54,HORIZONTAL
10.64,0.81,-2.26,HORIZONTAL
10.06,0.95,-1.52,HORIZONTAL
11.38,1.14,-1.42,HORIZONTAL
10.19,0.52,-0.91,HORIZONTAL
10.17,0.86,0.27,HORIZONTAL
10.13,0.91,0.09,HORIZONTAL
9.98,0.92,-0.21,HORIZONTAL
9.77,1.10,-0.04,HORIZONTAL
9.69,1.70,0.62,HORIZONTAL
9.65,2.00,1.12,HORIZONTAL
9.72,1.73,1.22,HORIZONTAL
10.14,0.93,0.91,HORIZONTAL
10.66,0.69,0.48,HORIZONTAL
10.91,0.78,0.11,HORIZONTAL
10.79,0.87,-0.41,HORIZONTAL
10.66,0.77,-1.05,HORIZONTAL
10.84,0.60,-1.42,HORIZONTAL
11.04,0.59,-1.57,HORIZONTAL
10.67,0.83,-1.26,HORIZONTAL
10.25,1.00,-0.79,HORIZONTAL
10.08,1.02,-0.54,HORIZONTAL
10.23,0.78,-0.43,HORIZONTAL
10.25,0.84,-0.56,HORIZONTAL
10.30,0.91,-0.53,HORIZONTAL
10.28,-1.41,0.26,HORIZONTAL
10.53,-2.41,0.78,HORIZONTAL
10.40,-0.80,0.56,HORIZONTAL
9.87,0.76,1.01,HORIZONTAL
10.08,1.64,0.68,HORIZONTAL
11.65,1.19,1.13,HORIZONTAL
12.22,-0.04,0.33,HORIZONTAL
10.36,0.44,-0.43,HORIZONTAL
9.01,1.67,-0.89,HORIZONTAL
8.59,2.69,-1.13,HORIZONTAL
8.41,3.11,-1.09,HORIZONTAL
8.37,2.54,-0.70,HORIZONTAL
8.78,1.93,-0.52,HORIZONTAL
9.46,1.55,-0.65,HORIZONTAL
10.00,1.25,-0.99,HORIZONTAL
10.23,1.17,-1.41,HORIZONTAL
10.33,1.12,-1.76,HORIZONTAL
10.15,1.10,-2.28,HORIZONTAL
9.82,1.02,-2.80,HORIZONTAL
9.73,0.91,-3.12,HORIZONTAL
9.87,0.75,-3.16,HORIZONTAL
10.26,0.40,-2.79,HORIZONTAL
10.57,0.14,-2.26,HORIZONTAL
10.68,0.11,-1.95,HORIZONTAL
10.77,0.25,-1.40,HORIZONTAL
11.27,-0.09,0.16,HORIZONTAL
11.08,0.33,0.58,HORIZONTAL
10.66,0.80,-0.15,HORIZONTAL
10.35,0.87,-0.85,HORIZONTAL
9.99,0.74,-1.11,HORIZONTAL
9.71,0.74,-1.02,HORIZONTAL
9.72,0.87,-1.05,HORIZONTAL
9.75,1.05,-1.07,HORIZONTAL
9.70,1.17,-1.06,HORIZONTAL
9.65,1.22,-1.13,HORIZONTAL
9.65,1.21,-1.24,HORIZONTAL
9.69,1.14,-1.43,HORIZONTAL
9.70,1.05,-1.72,HORIZONTAL
9.75,0.94,-1.91,HORIZONTAL
9.94,0.80,-1.94,HORIZONTAL
10.07,0.82,-1.84,HORIZONTAL
10.07,1.03,-1.67,HORIZONTAL
10.07,1.24,-1.56,HORIZONTAL
9.94,1.35,-1.46,HORIZONTAL
9.77,1.34,-1.40,HORIZONTAL
9.62,1.19,-1.47,HORIZONTAL
9.64,1.02,-1.69,HORIZONTAL
9.80,0.98,-1.81,HORIZONTAL
10.02,1.13,-1.83,HORIZONTAL
10.12,1.32,-1.77,HORIZONTAL
10.10,1.36,-1.66,HORIZONTAL
10.09,1.32,-1.55,HORIZONTAL
10.20,1.15,-1.48,HORIZONTAL
10.48,0.85,-1.45,HORIZONTAL
10.67,0.66,-1.36,HORIZONTAL
10.69,0.59,-1.25,HORIZONTAL
10.64,0.57,-1.24,HORIZONTAL
10.65,0.54,-1.13,HORIZONTAL
10.55,0.55,-0.94,HORIZONTAL
10.34,0.54,-1.01,HORIZONTAL
10.20,0.47,-1.28,HORIZONTAL
10.04,0.36,-1.49,HORIZONTAL
9.93,0.20,-1.42,HORIZONTAL
10.07,0.17,-1.14,HORIZONTAL
10.15,0.42,-0.88,HORIZONTAL
10.07,0.63,-0.79,HORIZONTAL
9.98,0.65,-0.90,HORIZONTAL
9.97,0.48,-1.00,HORIZONTAL
10.03,0.21,-0.90,HORIZONTAL
10.17,-0.07,-0.81,HORIZONTAL
10.33,-0.24,-0.76,HORIZONTAL
10.45,-0.09,-0.75,HORIZONTAL
10.58,0.23,-0.76,HORIZONTAL
10.72,0.57,-0.84,HORIZONTAL
10.66,0.77,-0.91,HORIZONTAL
10.48,0.87,-0.96,HORIZONTAL
10.28,0.87,-0.90,HORIZONTAL
10.00,0.66,-0.85,HORIZONTAL
9.77,0.26,-0.82,HORIZONTAL
9.77,-0.16,-0.86,HORIZONTAL
9.84,-0.51,-0.79,HORIZONTAL
9.87,-0.73,-0.64,HORIZONTAL
9.92,-0.65,-0.56,HORIZONTAL
10.01,-0.24,-0.50,HORIZONTAL
10.08,0.07,-0.52,HORIZONTAL
10.12,0.25,-0.63,HORIZONTAL
10.12,0.33,-0.83,HORIZONTAL
10.13,0.30,-0.93,HORIZONTAL
10.21,0.09,-0.88,HORIZONTAL
10.33,-0.18,-0.76,HORIZONTAL
10.56,-0.49,-0.62,HORIZONTAL
10.78,-0.74,-0.39,HORIZONTAL
10.84,-0.76,-0.07,HORIZONTAL
10.59,-0.68,0.12,HORIZONTAL
10.19,-0.46,0.12,HORIZONTAL
9.97,-0.29,-0.08,HORIZONTAL
9.89,-0.32,-0.32,HORIZONTAL
10.00,-0.42,-0.46,HORIZONTAL
10.19,-0.42,-0.43,HORIZONTAL
10.25,-0.35,-0.35,HORIZONTAL
10.19,-0.20,-0.35,HORIZONTAL
10.15,-0.10,-0.40,HORIZONTAL
10.16,-0.11,-0.53,HORIZONTAL
10.18,-0.16,-0.67,HORIZONTAL
10.30,-0.23,-0.69,HORIZONTAL
10.45,-0.35,-0.55,HORIZONTAL
10.50,-0.51,-0.34,HORIZONTAL
10.47,-0.55,-0.34,HORIZONTAL
10.44,-0.47,-0.64,HORIZONTAL
10.39,-0.39,-0.70,HORIZONTAL
10.34,-0.30,-0.60,HORIZONTAL
10.32,-0.16,-0.66,HORIZONTAL
10.27,-0.08,-0.64,HORIZONTAL
10.17,-0.02,-0.53,HORIZONTAL
10.09,0.00,-0.47,HORIZONTAL
10.15,0.11,-0.60,HORIZONTAL
10.16,0.28,-0.71,HORIZONTAL
10.13,0.34,-0.77,HORIZONTAL
10.08,0.32,-0.87,HORIZONTAL
9.99,0.22,-0.86,HORIZONTAL
9.93,0.06,-0.81,HORIZONTAL
10.01,-0.14,-0.29,HORIZONTAL
10.23,-0.08,-0.45,HORIZONTAL
10.42,-0.03,-0.85,HORIZONTAL
10.70,0.01,-1.16,HORIZONTAL
10.86,-0.06,-1.17,HORIZONTAL
10.86,-0.14,-1.02,HORIZONTAL
10.71,-0.25,-0.82,HORIZONTAL
10.43,-0.32,-0.79,HORIZONTAL
10.12,-0.41,-0.86,HORIZONTAL
9.95,-0.41,-0.91,HORIZONTAL
9.73,-0.35,-1.05,HORIZONTAL
9.63,-0.34,-1.15,HORIZONTAL
9.75,-0.36,-1.15,HORIZONTAL
9.99,-0.32,-1.07,HORIZONTAL
10.52,0.03,-0.93,HORIZONTAL
10.67,0.30,-1.10,HORIZONTAL
10.69,0.40,-1.15,HORIZONTAL
10.58,0.50,-1.20,HORIZONTAL
10.44,0.44,-1.23,HORIZONTAL
10.34,0.22,-1.24,HORIZONTAL
10.30,-0.10,-1.25,HORIZONTAL
10.30,-0.32,-1.32,HORIZONTAL
10.25,-0.43,-1.31,HORIZONTAL
10.16,-0.30,-1.20,HORIZONTAL
10.08,-0.00,-1.10,HORIZONTAL
9.90,0.25,-0.98,HORIZONTAL
9.58,0.35,-1.08,HORIZONTAL
9.38,0.38,-1.21,HORIZONTAL
9.12,0.45,-1.38,HORIZONTAL
9.03,0.52,-1.43,HORIZONTAL
9.13,0.54,-1.48,HORIZONTAL
9.29,0.45,-1.50,HORIZONTAL
9.60,0.34,-1.49,HORIZONTAL
9.98,0.32,-1.44,HORIZONTAL
10.32,0.36,-1.36,HORIZONTAL
10.68,0.43,-1.14,HORIZONTAL
10.77,0.48,-0.81,HORIZONTAL
11.18,-0.23,1.01,HORIZONTAL
10.50,-0.11,0.64,HORIZONTAL
10.28,0.18,-0.08,HORIZONTAL
10.35,0.43,-0.95,HORIZONTAL
10.14,0.25,-1.47,HORIZONTAL
9.90,0.12,-1.79,HORIZONTAL
9.84,0.13,-2.02,HORIZONTAL
9.96,0.19,-2.08,HORIZONTAL
10.25,0.28,-1.87,HORIZONTAL
10.48,0.33,-1.37,HORIZONTAL
10.58,0.31,-1.02,HORIZONTAL
10.71,0.29,-0.70,HORIZONTAL
10.68,0.25,-0.53,HORIZONTAL
10.55,0.29,-0.47,HORIZONTAL
10.26,0.39,-0.74,HORIZONTAL
10.27,0.22,-1.30,HORIZONTAL
10.26,0.16,-2.09,HORIZONTAL
10.10,0.09,-2.40,HORIZONTAL
10.01,0.01,-2.21,HORIZONTAL
10.03,0.03,-1.98,HORIZONTAL
10.06,0.08,-1.78,HORIZONTAL
10.21,0.11,-1.67,HORIZONTAL
10.47,0.11,-1.67,HORIZONTAL
10.59,0.01,-1.84,HORIZONTAL
10.51,-0.21,-1.72,HORIZONTAL
10.40,-0.24,-1.43,HORIZONTAL
10.33,-0.11,-1.29,HORIZONTAL
10.26,0.15,-1.19,HORIZONTAL
10.25,0.14,-1.11,HORIZONTAL
10.31,0.24,-1.27,HORIZONTAL
10.34,0.68,-1.59,HORIZONTAL
10.24,1.02,-1.75,HORIZONTAL
10.15,1.24,-2.03,HORIZONTAL
10.07,1.24,-2.11,HORIZONTAL
9.96,1.25,-1.72,HORIZONTAL
10.04,1.33,-1.22,HORIZONTAL
10.35,1.25,-0.78,HORIZONTAL
10.60,1.15,-0.63,HORIZONTAL
10.75,0.86,-0.52,HORIZONTAL
10.74,0.66,-0.56,HORIZONTAL
10.67,0.46,-0.86,HORIZONTAL
10.52,0.68,-1.78,HORIZONTAL
9.97,1.07,-2.75,HORIZONTAL
9.49,1.52,-3.15,HORIZONTAL
9.49,1.70,-2.94,HORIZONTAL
9.91,1.88,-2.17,HORIZONTAL
10.40,1.78,-1.44,HORIZONTAL
10.73,1.36,-1.13,HORIZONTAL
10.85,0.98,-1.37,HORIZONTAL
10.72,0.73,-1.57,HORIZONTAL
10.41,0.56,-1.82,HORIZONTAL
10.18,0.57,-1.81,HORIZONTAL
10.12,0.64,-1.67,HORIZONTAL
10.01,1.02,-1.72,HORIZONTAL
9.94,1.36,-1.38,HORIZONTAL
10.11,1.59,-1.33,HORIZONTAL
10.36,1.87,-1.58,HORIZONTAL
10.43,1.92,-1.91,HORIZONTAL
10.41,1.85,-2.13,HORIZONTAL
10.37,1.70,-2.31,HORIZONTAL
10.28,1.58,-2.23,HORIZONTAL
10.18,1.40,-1.90,HORIZONTAL
10.06,1.21,-1.58,HORIZONTAL
10.02,0.95,-1.30,HORIZONTAL
10.06,0.84,-1.19,HORIZONTAL
10.08,0.75,-1.17,HORIZONTAL
10.05,0.61,-1.32,HORIZONTAL
10.01,0.53,-1.34,HORIZONTAL
9.97,0.49,-1.27,HORIZONTAL
9.87,0.73,-1.38,HORIZONTAL
9.83,1.00,-1.64,HORIZONTAL
9.88,1.25,-1.83,HORIZONTAL
9.86,1.47,-1.80,HORIZONTAL
9.81,1.73,-1.69,HORIZONTAL
9.99,1.91,-1.47,HORIZONTAL
10.11,1.86,-1.11,HORIZONTAL
10.05,1.82,-0.71,HORIZONTAL
10.00,1.74,-0.39,HORIZONTAL
10.03,1.61,-0.19,HORIZONTAL
10.01,1.54,-0.08,HORIZONTAL
10.06,1.57,-0.03,HORIZONTAL
10.04,1.75,-0.18,HORIZONTAL
10.04,1.88,-0.52,HORIZONTAL
10.02,1.77,-0.85,HORIZONTAL
10.07,1.36,-0.97,HORIZONTAL
10.10,1.16,-1.23,HORIZONTAL
10.03,1.11,-1.35,HORIZONTAL
9.93,1.03,-1.24,HORIZONTAL
9.93,0.85,-0.93,HORIZONTAL
9.88,0.80,-0.89,HORIZONTAL
9.87,0.81,-0.84,HORIZONTAL
10.04,0.88,-0.99,HORIZONTAL
10.15,1.01,-1.13,HORIZONTAL
10.33,1.36,-1.25,HORIZONTAL
10.41,1.52,-0.91,HORIZONTAL
10.31,1.28,-0.82,HORIZONTAL
10.20,0.92,-1.12,HORIZONTAL
10.25,0.63,-1.51,HORIZONTAL
10.26,0.49,-1.69,HORIZONTAL
10.25,0.50,-1.67,HORIZONTAL
10.18,0.60,-1.39,HORIZONTAL
10.15,0.68,-1.20,HORIZONTAL
10.08,0.79,-0.96,HORIZONTAL
10.00,0.92,-0.91,HORIZONTAL
10.05,1.08,-0.87,HORIZONTAL
10.07,1.24,-0.81,HORIZONTAL
10.17,1.25,-0.76,HORIZONTAL
9.95,1.44,-0.99,HORIZONTAL
9.93,1.36,-0.98,HORIZONTAL
9.85,1.22,-0.90,HORIZONTAL
9.69,1.13,-1.02,HORIZONTAL
9.50,1.06,-1.09,HORIZONTAL
9.67,1.16,-0.90,HORIZONTAL
9.85,1.32,-0.98,HORIZONTAL
9.78,1.39,-1.29,HORIZONTAL
9.85,1.11,-1.48,HORIZONTAL
9.93,0.95,-1.39,HORIZONTAL
10.09,0.88,-1.18,HORIZONTAL
10.18,1.00,-1.01,HORIZONTAL
10.18,1.21,-0.92,HORIZONTAL
10.11,1.36,-0.96,HORIZONTAL
10.03,1.36,-0.89,HORIZONTAL
9.92,1.34,-0.82,HORIZONTAL
9.81,1.39,-0.79,HORIZONTAL
9.80,1.40,-0.80,HORIZONTAL
9.76,1.49,-1.01,HORIZONTAL
9.96,1.37,-1.19,HORIZONTAL
10.16,1.15,-1.04,HORIZONTAL
